Id,Timestamp,Source,Retwwet_Count,User_Name,tweets,text_length
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,Baddie B Ì¡ü‰Ûª‰ÛÊÌ¡üååÀÌ¢‰âÂåÌ¢‰ã¢‰Û_ÌøåüåÌ¡ü‰ÛÁå_Ì¡ü‰ÛÁå_,     feeling mentally know thing  stress,11
1.25E+18,06/04/20 1:23,Instagram,0,AlphonseLucarelli II, testarossa   quarantine night view namaste safe        holiday florida,18
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,fern- MIAÌ¢‰âÂ‰ã¢S DAY,harry keep identity hidden mask  work,7
1.25E+18,06/04/20 1:23,Twitter Web App,0,Pakipower,  achieve target  million death  next  month  trump next target,15
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,Greg Mazzo, feel     never tweet anything long there    really nothing talk sport      watching  giant past season  yankees last year,32
1.25E+18,06/04/20 1:23,Twitter for Android,0,gary waller,ahhh gonna wipe clean whole ncaa thing very clever,9
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,emily ortiz,wanna picnic outside     want wait,9
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,karyn ajay,  back period  today  stink fuckin smell soryy  usefull info woman really recomwnd watch knives  fuckin insane  detective also victim knivesout watch bitch   sesoasenns,32
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,MT White,random quarantine reflection growing generally  music    connect   chili peppers music nirvana smashing pumpkins,19
1.25E+18,06/04/20 1:23,Twitter for Android,0,Jenn Gueits,anna audacity blame parent able  disneyland life shes grow woman     ,16
1.25E+18,06/04/20 1:23,Twitter Web App,0,brian g,face mask  darth vader,5
1.25E+18,06/04/20 1:23,Twitter for Android,0,Ra of The Sun Dudes Ì¡ü‰Û_‰ã¢, look right false negative,5
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,Majin,happy sunday coronavirus stayhealthy facts deacon otis wicknine sings dont     ,15
1.25E+18,06/04/20 1:23,Twitter Web App,0,Daniel777Ì¡ü‰Ûå´BernieBro#IStandWithTara@TheGreenPartyÌ¡üÕå_,trump next mean  would never mask hope trump joke,10
1.25E+18,06/04/20 1:23,Twitter for Android,0,Ritesh Tripathi,thanks arif  whole humanity need come together fight after believe vasudhev kutumbakam whole world family,16
1.25E+18,06/04/20 1:23,Twitter for Android,0,A,   hope understand diamond dynasty jersey bottle green hatshelmets lime,12
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,Trap King Ì¡ü‰Û÷‰Û÷,doubt there difference test result common cold these  scamming,10
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,Katie Feaster,ughhh          miss  post reunion ,15
1.25E+18,06/04/20 1:23,Twitter for Android,0,Kushal Seethkal,namma  swatch bhart bhagea helli swatch kappaddi andaga thing mansu swatch idhrea sakku antha without clean fight without understanding unity country mentally strong,24
1.25E+18,06/04/20 1:23,Twitter for Android,0,Azazel,when vaccine fuck,3
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,Autumn McCall,want   also want chinese buffet wanna pikka culla already     ,16
1.25E+18,06/04/20 1:23,Twitter for iPhone,0,Ì¡üÕåÈ,needa   gender reveal     ,10
1.25E+18,06/04/20 1:23,Twitter Web App,0,KateS,mainstream media caught  handed  mannequin filmyourhosp ,9
1.25E+18,06/04/20 1:23,Twitter for Android,0,Ravi ( Brahmin-unreserved category),photon energy convert quantum energy automic energy geothermal energy nuclear energy photo voltaic energy wave energy  exponentially multiply becomes fusion energy then convert faint magnet,26
1.25E+18,06/04/20 1:23,Twitter for Android,0,Dirty Policy,  family pangolins  long they different genome they infect  transmission animal human human animal human change transmit human human animal,23
1.25E+18,06/04/20 1:23,Twitter Web App,0,Chad Meabon,hello read house whip want talk price gouge accountability what hand decline wage lower life expectancy failure  country,19
1.25E+18,06/04/20 1:23,Twitter for Android,0,Chelsea Ì¡ü‰ÛÁå©Ì¡ü‰ÛÁå_, take  willingly watch anime laughing  loud     ,14
1.25E+18,06/04/20 1:23,Twitter for Android,0,Chizoba Alozie, else  label,4
1.25E+18,06/04/20 1:23,IFTTT,0,Counterview,letter friend mentor coming together class communal virus scary,9
1.25E+18,06/04/20 1:23,Twitter for Android,0,ShubhamMehandia,once shit  punjab,4
